Wall time,Step,Value
1716038095.065156,0,3.2343385219573975
1716038096.851418,1,2.405137062072754
1716038097.6968079,2,1.9986978769302368
1716038098.262933,3,2.237759828567505
1716038099.074524,4,1.9006495475769043
1716038099.693186,5,1.6487340927124023
1716038100.0771232,6,1.776626467704773
1716038100.41744,7,1.9230551719665527
1716038100.867788,8,1.5554866790771484
1716038101.489551,9,1.5233451128005981
1716038102.2578728,10,1.433709740638733
1716038103.562544,11,1.6691908836364746
1716038103.96241,12,1.5158019065856934
1716038104.5128949,13,1.6130568981170654
1716038104.898068,14,1.532808542251587
1716038105.2837608,15,1.583450436592102
1716038105.6691468,16,1.57663094997406
1716038106.292535,17,1.3925305604934692
1716038107.062112,18,1.344763159751892
1716038107.4589498,19,1.3911590576171875
1716038108.088751,20,1.5208611488342285
1716038109.231911,21,1.43953275680542
1716038109.715976,22,1.3723821640014648
1716038110.26526,23,1.3231532573699951
1716038110.657165,24,1.3825479745864868
1716038111.289299,25,1.394912838935852
1716038111.673289,26,1.3684755563735962
1716038112.2147682,27,1.3751968145370483
1716038112.6775591,28,1.5287885665893555
1716038113.061706,29,1.3377811908721924
1716038113.9307342,30,1.3860654830932617
1716038114.644156,31,1.3804959058761597
1716038114.949897,32,1.3558883666992188
1716038115.6750631,33,1.3395353555679321
1716038116.228568,34,1.396330714225769
1716038116.691159,35,1.3568860292434692
1716038116.994973,36,1.3639044761657715
1716038117.540095,37,1.3677210807800293
1716038117.761119,38,1.3157509565353394
1716038118.148055,39,1.332991361618042
1716038118.778429,40,1.3320492506027222
1716038119.481235,41,1.3453856706619263
1716038119.9481118,42,1.3286954164505005
1716038120.731074,43,1.310983657836914
1716038121.20272,44,1.353467583656311
1716038121.6671429,45,1.2990456819534302
1716038121.887317,46,1.3524551391601562
1716038122.519116,47,1.3118882179260254
1716038122.902414,48,1.345301628112793
1716038123.207668,49,1.4184321165084839
1716038123.676332,50,1.3461037874221802
1716038124.4718258,51,1.3364574909210205
1716038124.956379,52,1.5441383123397827
1716038125.500865,53,1.343093991279602
1716038125.801853,54,1.298688292503357
1716038126.259118,55,1.325799822807312
1716038126.804804,56,1.3472929000854492
1716038127.3464909,57,1.3179206848144531
1716038128.116976,58,1.3182135820388794
1716038128.5935192,59,1.2748557329177856
1716038129.137741,60,1.2673155069351196
1716038130.1725261,61,1.3439277410507202
1716038130.576685,62,1.2982224225997925
1716038130.959263,63,1.3243566751480103
1716038131.256057,64,1.2868528366088867
1716038131.886881,65,1.3175767660140991
1716038132.18709,66,1.3031147718429565
1716038132.734089,67,1.2730529308319092
1716038133.2876532,68,1.2649152278900146
1716038133.942305,69,1.2504053115844727
1716038134.50253,70,1.2440663576126099
1716038135.786117,71,1.3084616661071777
1716038136.26266,72,1.279509425163269
1716038136.4850602,73,1.30765962600708
1716038136.7098722,74,1.3009567260742188
1716038137.332024,75,1.2914772033691406
1716038137.983883,76,1.280110478401184
1716038138.5354931,77,1.3388105630874634
1716038139.178057,78,1.3138210773468018
1716038139.653269,79,1.3057913780212402
1716038140.118902,80,1.2574045658111572
1716038141.034391,81,1.2725701332092285
1716038141.3523068,82,1.236474871635437
1716038141.579276,83,1.256543755531311
1716038141.883511,84,1.2650846242904663
1716038142.428509,85,1.2463955879211426
1716038142.9652638,86,1.2936937808990479
1716038143.4266481,87,1.2797647714614868
1716038143.9742,88,1.308666706085205
1716038144.3576589,89,1.2578110694885254
1716038144.904722,90,1.256773591041565
1716038145.815841,91,1.2782789468765259
1716038146.1328151,92,1.276430606842041
1716038146.67983,93,1.2642799615859985
1716038147.226811,94,1.268902063369751
1716038147.693085,95,1.2430144548416138
1716038148.23938,96,1.277988076210022
1716038148.537281,97,1.2757800817489624
1716038149.001905,98,1.3048999309539795
1716038149.548177,99,1.2452672719955444
1716038150.2183108,100,1.2631075382232666
1716038151.263316,101,1.255965232849121
1716038151.662407,102,1.2850654125213623
1716038151.964844,103,1.2479349374771118
1716038152.266064,104,1.2974843978881836
1716038152.894797,105,1.2470885515213013
1716038153.659521,106,1.244835615158081
1716038154.0493069,107,1.221449851989746
1716038154.512461,108,1.2678502798080444
1716038155.0597498,109,1.286348581314087
1716038155.443506,110,1.2406368255615234
1716038156.222375,111,1.283677339553833
1716038156.6911821,112,1.2056509256362915
1716038157.0797818,113,1.26671302318573
1716038157.626225,114,1.2183784246444702
1716038158.08891,115,1.2129627466201782
1716038158.393698,116,1.245134711265564
1716038159.104246,117,1.2419580221176147
1716038159.762775,118,1.2126256227493286
1716038160.00196,119,1.2275915145874023
1716038160.631972,120,1.2378939390182495
1716038161.715887,121,1.2297515869140625
1716038162.27472,122,1.2310839891433716
1716038162.744264,123,1.2412713766098022
1716038163.208925,124,1.195333480834961
1716038163.512151,125,1.202117919921875
1716038163.9768288,126,1.2293803691864014
1716038164.522677,127,1.2243766784667969
1716038164.985054,128,1.2016104459762573
1716038165.367916,129,1.2054662704467773
1716038165.925597,130,1.1997554302215576
1716038167.0721002,131,1.2307332754135132
1716038167.38224,132,1.2031245231628418
1716038167.926074,133,1.194317102432251
1716038168.310053,134,1.2496048212051392
1716038168.774915,135,1.2183936834335327
1716038169.0793269,136,1.2125896215438843
1716038169.463459,137,1.1469730138778687
1716038170.090594,138,1.1671628952026367
1716038170.3059998,139,1.2198312282562256
1716038170.784399,140,1.1775128841400146
1716038171.9508832,141,1.1590123176574707
1716038172.2607412,142,1.2024235725402832
1716038172.755937,143,1.18934166431427
1716038173.3016682,144,1.1581213474273682
1716038173.683743,145,1.1532669067382812
1716038174.3532128,146,1.167989730834961
1716038174.907732,147,1.1650054454803467
1716038175.6779509,148,1.163102626800537
1716038176.14317,149,1.1942849159240723
1716038176.526004,150,1.172631859779358
1716038177.5298848,151,1.1580475568771362
1716038177.92724,152,1.1920925378799438
1716038178.393953,153,1.1996318101882935
1716038179.0267992,154,1.1942532062530518
1716038179.492768,155,1.190983772277832
1716038180.134986,156,1.1391204595565796
1716038180.28671,157,1.185940146446228
1716038180.836713,158,1.150593638420105
